ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
P11076	0.204663007630984	33.0385461534844	2.82344611361954	0.0222428285854475	0.0564902956132839	-4.38041966899683
P10507	0.204264682109802	29.6573985801535	2.01581867891131	0.0783567096995366	0.148470331437937	-5.63879768897778
P47150	0.204122488852434	28.876323585342	2.8341682758188	0.0218776298041335	0.0560259428993925	-4.36342745942444
Q04228	0.204100267399266	28.035546735416	2.53378808001934	0.0348863779911857	0.0798057727185226	-4.83861993029299
P39968	0.203928172188352	30.6872383083648	3.2106407001743	0.0123157468668293	0.0358713296288505	-3.76861727341056
Q06245	0.203509343063313	27.5176635014471	2.28450112931746	0.0515198383507507	0.107403684749187	-5.22860561599994
P40086	0.203318245171459	28.5080165843097	2.16010440574432	0.06258087033759	0.125081918136484	-5.42021294852043
P19881	0.203291322606837	30.9109075624608	3.18554445090373	0.0127908035705044	0.0369119506353231	-3.80807131817566
P25360	0.202779713594502	26.2592325868985	2.0431127336553	0.0751014378068492	0.143776492325148	-5.59779885930588
P40084	0.202537112015449	27.0691018183142	1.34107592514236	0.216512729454348	0.32131205748707	-6.57148883597629
Q99369	0.202144423236582	28.4280151937696	3.78571547625543	0.00528658428717325	0.0189784136953046	-2.87907546596153
Q06608	0.201603247001742	28.2801727776486	2.54339555276743	0.0343670610640299	0.079079566354383	-4.82347852701744
P11709	0.201287491541429	27.1897116556358	1.18332222702182	0.27045681826783	0.381001995040908	-6.75756363123781
P40460	0.201252826736898	25.2590038378761	0.7876804903742	0.453456669977347	0.56551261588102	-7.14589936737837
Q04338	0.201147646732888	28.5847576388076	1.65046150561263	0.137232554945563	0.226719466104057	-6.16668478759301
P53110	0.201138751854803	27.4944372452459	2.80899778162149	0.0227449222959442	0.0575323538946642	-4.40331711771525
P53388	0.200333570097968	27.3637949692557	1.80613484070086	0.108309745976023	0.19005752737338	-5.94710211518109
P53196	0.199927559577525	27.0793981857174	1.19188101578947	0.267268007744331	0.378669953106118	-6.74787585436801
P13517	0.199610300656559	30.2707252635218	2.32930660826945	0.0480312780140444	0.101916063165887	-5.15901934351778
P32861	0.199442822978163	32.7755877746748	2.69448886794611	0.0271610443060449	0.0661287329574596	-4.58472125268045
P54837	0.198487489443124	31.0551604296812	2.10704808498442	0.0679830211650973	0.13258169777935	-5.5011007293005
P25087	0.197857561786719	33.7349676830478	3.17610328643501	0.0129744637178325	0.0373731335401536	-3.82292389461973
P39732	0.197513746996595	25.6511028042749	0.705598546685616	0.500349351111007	0.605442033352083	-7.21011059667309
P38210	0.196987800088475	27.1427158729098	2.25407602895632	0.0540315012852441	0.111404424360497	-5.27569745112789
P47160	0.196108612947217	30.5462104716425	1.72574022373625	0.122450022023111	0.20947509226006	-6.0616304764921
P53088	0.195848416159137	26.0843743379273	0.753892283143965	0.472393440256457	0.582322267856896	-7.17307407599653
Q03219	0.195745423726354	29.423434883149	2.50195353158399	0.0366647320753398	0.0827572624744238	-4.88874583361595
Q12354	0.195640577809769	26.8707673502337	2.495549051148	0.037033456757107	0.0830800669125079	-4.89882120719303
